,GEOID,District_Name,District_Name,population_number,school_no_poverty_num,school_poverty_num,less_than_10k,one_hunna_and_up,ten_to_19k,thirtyfive_to_49k,twenty_to_35k
1,3900094,"Monroe Local School District, Ohio",Monroe Local ,13344,3934,161,0,1780,82,454,252
2,3900537,"Manchester Local School District (Adams County), Ohio",Manchester Local ,4640,830,131,83,295,140,212,278
3,3904348,"Akron City School District, Ohio",Akron City ,176604,28580,15494,1835,6951,3684,6464,7088
4,3904349,"Alliance City School District, Ohio",Alliance City ,18615,2997,1534,304,680,451,559,868
5,3904350,"Ashland City School District, Ohio",Ashland City ,23319,5033,859,236,1625,594,950,962
6,3904351,"Ashtabula Area City School District, Ohio",Ashtabula Area City ,25200,3589,1623,438,1190,530,1083,1070
7,3904352,"Athens City School District, Ohio",Athens City ,26655,4438,6980,172,1720,281,532,588
8,3904353,"Barberton City School District, Ohio",Barberton City ,24780,3974,1041,256,1019,632,1167,1042
9,3904354,"Bay Village City School District, Ohio",Bay Village City ,14618,3898,90,111,3047,144,371,338
10,3904355,"Beachwood City School District, Ohio",Beachwood City ,10340,2395,55,109,1584,125,124,147
11,3904357,"Bellaire Local School District, Ohio",Bellaire Local ,9125,1544,367,106,604,400,339,457
12,3904358,"Bellefontaine City School District, Ohio",Bellefontaine City ,14252,2807,647,205,1021,146,534,416
13,3904359,"Bellevue City School District, Ohio",Bellevue City ,11747,2279,198,118,866,110,530,347
14,3904360,"Berea City School District, Ohio",Berea City ,48476,8848,1445,469,4540,1005,2151,1968
15,3904361,"Belpre City School District, Ohio",Belpre City ,7802,962,228,60,383,230,394,439
16,3904362,"Bexley City School District, Ohio",Bexley City ,11945,3162,458,25,2367,138,133,184
17,3904363,"Bowling Green City School District, Ohio",Bowling Green City ,30671,6132,6578,132,2025,346,730,601
18,3904364,"Brecksville-Broadview Heights City School District, Ohio",Brecksville-Broadview Heights City ,25481,6251,134,141,4712,180,723,578
19,3904365,"Brooklyn City School District, Ohio",Brooklyn City ,10489,2082,578,118,540,110,414,311
20,3904366,"Brunswick City School District, Ohio",Brunswick City ,45060,10336,822,371,5877,393,1406,1195
21,3904367,"Bryan City School District, Ohio",Bryan City ,11647,2167,335,122,730,234,576,690
22,3904368,"Bucyrus City School District, Ohio",Bucyrus City ,10139,1746,260,200,382,299,499,390
23,3904369,"Cambridge City School District, Ohio",Cambridge City ,14822,2234,1084,164,617,415,661,679
24,3904370,"Campbell City School District, Ohio",Campbell City ,7539,1088,689,139,273,235,376,463
25,3904371,"Canton City School District, Ohio",Canton City ,56750,7421,6255,531,1430,1435,2163,2651
26,3904373,"Centerville City School District, Ohio",Centerville City ,53614,11960,1006,324,9263,548,1587,1216
27,3904374,"Chillicothe City School District, Ohio",Chillicothe City ,20801,3257,972,219,1095,517,789,846
