"","NAME","total_population","below_poverty_num","above_poverty_num","poverty_percentage","tot_less_than_HS","tot_HS","tot_some_college","tot_bachelor_plus","HS_PLUS_percentage"
"1","Ada Exempted Village School District, Ohio",3656,435,3221,0.11898249452954,401,1309,850,1096,0.890317286652079
"2","Adams County/Ohio Valley Local School District, Ohio",15761,2639,13122,0.167438614301123,2974,7075,3602,2110,0.811306389188503
"3","Adena Local School District, Ohio",4586,611,3975,0.133231574356738,499,2019,1239,829,0.891190580026167
"4","Akron City School District, Ohio",124724,23640,101084,0.189538501010231,16414,43858,39573,24879,0.868397421506687
"5","Alexander Local School District, Ohio",7684,1159,6525,0.150832899531494,510,3181,2179,1814,0.933628318584071
"6","Allen East Local School District, Ohio",3976,255,3721,0.0641348088531187,198,1907,1336,535,0.950201207243461
"7","Alliance City School District, Ohio",13216,2533,10683,0.191661622276029,1714,6005,3059,2438,0.870308716707022
"8","Amanda-Clearcreek Local School District, Ohio",5959,303,5656,0.0508474576271186,600,2618,1531,1210,0.899311965094815
"9","Amherst Exempted Village School District, Ohio",17364,1002,16362,0.057705597788528,1131,5166,6597,4470,0.934865238424326
"10","Anna Local School District, Ohio",3570,140,3430,0.0392156862745098,93,1636,1052,789,0.973949579831933
"11","Ansonia Local School District, Ohio",2469,203,2266,0.0822195220737141,333,1113,695,328,0.865127582017011
"12","Anthony Wayne Local School District, Ohio",19987,807,19180,0.0403762445589633,506,4511,6275,8695,0.974683544303797
"13","Antwerp Local School District, Ohio",2636,148,2488,0.0561456752655539,139,1413,720,364,0.947268588770865
"14","Arcadia Local School District, Ohio",1982,127,1855,0.0640766902119072,89,901,683,309,0.955095862764884
"15","Arcanum-Butler Local School District, Ohio",4013,170,3843,0.0423623224520309,233,1899,1282,599,0.941938699227511
"16","Archbold Area Local School District, Ohio",4608,233,4375,0.0505642361111111,383,1613,1564,1048,0.916883680555556
"17","Arlington Local School District, Ohio",2540,255,2285,0.100393700787402,131,1096,747,566,0.948425196850394
"18","Ashland City School District, Ohio",16446,1612,14834,0.0980177550772224,1588,6120,4188,4550,0.903441566338319
"19","Ashtabula Area City School District, Ohio",18839,4206,14633,0.223260257975476,2835,8154,5024,2826,0.849514305430225
