,NAME,District_Name.1,total_population,below_poverty_num,above_poverty_num,poverty_percentage,tot_less_than_HS,tot_HS,tot_some_college,tot_bachelor_plus,HS_PLUS_percentage
70,"Buckeye Local School District (Ashtabula County), Ohio",Buckeye Local,7288,878,6410,0.120472009,729,3146,2192,1221,0.899972558
71,"Buckeye Local School District (Belmont, Harrison, and Jefferson Counties); Ohio",Buckeye Local,10614,1311,9303,0.123516111,996,5393,3091,1134,0.906161673
72,"Buckeye Local School District (Lorain and Medina Counties), Ohio",Buckeye Local,10257,536,9721,0.052256995,558,3638,2842,3219,0.945598128
127,"Crestview Local School District (Ashland and Richland Counties), Ohio",Crestview Local,4709,508,4201,0.10787853,732,1688,1353,936,0.844552984
128,"Crestview Local School District (Columbiana County), Ohio",Crestview Local,4074,274,3800,0.067255768,429,1763,1195,687,0.894698085
129,"Crestview Local School District (Van Wert County), Ohio",Crestview Local,3137,154,2983,0.049091489,279,1264,1016,578,0.911061524
153,"Eastern Local School District (Adams, Brown, and Highland Counties); Ohio",Eastern Local,5739,927,4812,0.161526398,733,2412,1523,1071,0.8722774
154,"Eastern Local School District (Jackson, Pike, and Scioto Counties); Ohio",Eastern Local,3340,588,2752,0.176047904,521,1573,841,405,0.844011976
155,"Eastern Local School District (Meigs County), Ohio",Eastern Local,3913,469,3444,0.119856887,479,1816,1138,480,0.877587529
160,"Edison Local (formerly Berlin-Milan) School District, Ohio",Edison Local (formerly Berlin-Milan),6212,427,5785,0.068737927,380,2643,1771,1418,0.938828075
214,"Green Local School District (Scioto County), Ohio",Green Local,2564,346,2218,0.134945398,278,932,776,578,0.891575663
215,"Green Local School District (Summit County), Ohio",Green Local,17506,1294,16212,0.073917514,657,4835,5471,6543,0.96247001
216,"Green Local School District (Wayne County), Ohio",Green Local,4846,362,4484,0.074700784,402,2005,1268,1171,0.917044986
229,"Highland Local School District (Delaware and Morrow Counties), Ohio",Highland Local,7024,472,6552,0.067198178,800,3073,2228,923,0.886104784
230,"Highland Local School District (Medina and Summit Counties), Ohio",Highland Local,13041,553,12488,0.042404724,498,2880,3944,5719,0.961812744
270,"Lake Local School District (Ottawa and Wood Counties), Ohio",Lake Local,8162,672,7490,0.082332762,663,3338,2368,1793,0.918769909
271,"Lake Local School District (Portage and Stark Counties), Ohio",Lake Local,13940,649,13291,0.046556671,817,4288,4440,4395,0.941391679
275,"Lakota Local School District (Butler County), Ohio",Lakota Local,65162,3047,62115,0.046760382,3231,11960,15996,33975,0.950415887
276,"Lakota Local School District (Sandusky, Seneca, and Wood Counties); Ohio",Lakota Local,4372,318,4054,0.07273559,273,2172,1425,502,0.937557182
307,"Madison Local School District (Butler County), Ohio",Madison Local,5958,426,5532,0.071500504,471,2697,1805,985,0.920946626
308,"Madison Local School District (Geauga and Lake Counties), Ohio",Madison Local,12605,1021,11584,0.080999603,1149,4660,4529,2267,0.908845696
309,"Madison Local School District (Richland County), Ohio",Madison Local,15005,2019,12986,0.134555148,1789,6964,4285,1967,0.880773076
310,"Manchester Local School District (Adams County), Ohio",Manchester Local,3306,694,2612,0.209921355,834,1329,705,438,0.747731397
311,"Manchester Local School District (Summit County), Ohio",Manchester Local,6611,221,6390,0.033429133,417,2228,2304,1662,0.93692331
