"","District_Name","County","Region","mean_enrollment","mean_attendence","mean_chronic_absenteesim","mean_expulsions","mean_out_of_school_suspensions","mean_in_school_suspensions","mean_total_students_discipline","total_population","below_poverty_num","above_poverty_num","poverty_percentage","tot_less_than_HS","tot_HS","tot_some_college","tot_bachelor_plus","HS_PLUS_percentage"
"1","A+ Arts Academy","Franklin","Region 11",686,91.2,33,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","A+ Children's Academy","Franklin","Region 11",128,92.6,24.7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Academy for Urban Scholars Youngstown","Mahoning","Region 5",196,47.7,94.9,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Academy of Educational Excellence","Lucas","Region 1",137,90.6,36.9,0,12,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Academy of Junior Scholars","Hamilton","Region 13",30,93.1,22.4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Achieve Career Preparatory Academy","Lucas","Region 1",145,60,91.5,0,176,0,176,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","AchievePoint Career Academy - Cincinnati","Hamilton","Region 13",60,100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","AchievePoint Career Academy - Columbus","Franklin","Region 11",36,100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Ada Exempted Village","Hardin","Region 6",419,95,8.85,0,19.5,17,36.5,3656,435,3221,0.11898249452954,401,1309,850,1096,0.890317286652079
"10","Adams County Ohio Valley Local","Adams","Region 14",578.333333333333,93.5333333333333,16.1166666666667,0,32.75,88.1666666666667,120.916666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Adena Local","Ross","Region 15",397,94.6,10.6666666666667,0,17.3333333333333,109,126.333333333333,4586,611,3975,0.133231574356738,499,2019,1239,829,0.891190580026167
"12","Akron City","Summit","Region 8",478.627906976744,92.146511627907,21.6813953488372,0,127.720930232558,179.918604651163,307.639534883721,124724,23640,101084,0.189538501010231,16414,43858,39573,24879,0.868397421506687
"13","Akron Preparatory School","Summit","Region 8",218,87.8,47,0,140,0,140,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Akros Middle School","Summit","Region 8",122,90.4,32.6,0,66,0,66,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Albert Einstein Academy for Letters, Arts and Sciences-Ohio","Cuyahoga","Region 3",330,90.1,36.6,0,0,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Alexander Local","Athens","Region 16",740,94.2,12.25,0,11.5,0,11.5,7684,1159,6525,0.150832899531494,510,3181,2179,1814,0.933628318584071
"17","Allen East Local","Allen","Region 6",375.333333333333,94.6333333333333,13.0333333333333,0,0,0,0,3976,255,3721,0.0641348088531187,198,1907,1336,535,0.950201207243461
"18","Alliance Academy of Cincinnati","Hamilton","Region 13",583,90.6,34.4,0,93,0,93,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Alliance City","Stark","Region 9",499.166666666667,92.2,23.5,0,77.2166666666667,4,81.2166666666667,13216,2533,10683,0.191661622276029,1714,6005,3059,2438,0.870308716707022
"20","Alternative Education Academy","Summit","Region 1",1940,89,36,120,0,0,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
